Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar
Angelin Gunathilaka,Premakeerthi De Alwis,C major | Beat,Old Pops,Ernest Zoysa,බංගලි වළලු ගෙන එන්නයි පොරොන්දුව දුහුලැල් සාරි ගෙන එන්නයි පොරොන්දුව රන් මිණි මාල පළඳන්නයි පොරොන්දුව එය ඉටු කෙරෙනා කල නාවද ඉතින් තව// යල මහ දෙක වැඩ කරලා ගොයම් කපා බක් මහ එන්න පෙර බැඳෙමුයි තැවෙන්නෙපා ඉක්මන් කතා කී ඇස් දෙක අඬන්නෙපා දැක්මත් සහනයකි ඔබ මගහරින්නෙපා දෙවැට දිරා ගිය රුක් අතු සෙවණ යට ඕවිට අසල දිය උතුරන පොකුණ පිට තාමත් දැණෙනවා ඇඟ ගෑ සුවඳ මට නවතිනු බැරි වුණත් එනු මස්සිනේ ගෙට,bangali-walalu,INTRO | C | - | - | - | |C/F|G/C|C/F|G/C| | C | - | CHORUS C C Bb C F Am C F C INTER |C7 | F |C/F |G/C| |C/F|G/C|C/Bb| C | VERSE 1 C Bb C F C F C G7 C Back To Chorus VERSE 2 C Bb C F C F C G7 C Back To Chorus
Amarasiri Peiris,Premakeerthi De Alwis,E minor | Beat,"Classics, Request",Amarasiri Pieris,චාරු දේහේ නුරා මා දෑසේ මැවේ රාත්‍රියේ රෑ සඳේ ඈ සිනා ශ්‍රීය දේ චාරු දේහේ නුරා පිහින පීනා රසෝගේ සරාගී විලේ රාත්‍රි යාමයේ// ඈගේ දෑසේ ප්‍රබෝධේ නුරා ගී නැගේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ සීත මිහිදුම් වළාවෝ වෙළීලා සඳේ තාරකාවේ// මිහි තලාවේ තුසීතේ මැවේ මා හදේ ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ,charu-dehe-nura,INTRO/INTER |Bm | - | D |Bm | | G |Bm |Em |Bm | | D | - |Em | - | | G | D | G | - | |Am |Em |Bm | - | | D |Em | CHORUS Em G D Bm D Em Em INTER | G |Bm |Em |Bm | | D | - |Em |Bm | | G | D | G | - | |Am |Em |Bm | - | | D |Em | VERSE 1 G Am G Am Bm D Bm D Em Back To Chorus VERSE 2 G Am G Am Bm D Bm D Em Back To Chorus
Mervin Perera,Premakeerthi De Alwis,C major | Beat,Old Pops,Mervin Perera,දෙදෙනා පෙරදා හමුවී නොදොඩා නොබලා වෙන් වූ තැන් කරා ආයෙමත් පැමිණිලා// දෙදෙනා දිගු කාලයක් ගෙවී ගියේ එක මොහොතක් ලෙසින්නේ ළඳේ ඒ මොහොත දැන් දිගු කාලයක් ලෙස ආයෙත් ගෙනල්ලා තියේ අද මේ කියූ දේ ඊයේ වුණා නම් අද ඊයේ වේවී ළඳේ ඔබ ආදරෙන් සිනාසුනත් අද අලුතින් උපන් මේ ලොවේ විස ගෑවුනත් මධු පානයක් ලෙස ඈ මා ළඟින් මිහිරියේ අසනු සමා වී ආයේ පමාවී කිසිදාක නොයෙනූ ළඳේ,dedena-perada,INTRO | C | - | F | F | F | G | C | - | | C | G |F/G| C | C | C | CHORUS B C B C B C B C F Bb C	 Bb		C B C INTER | + | C | F | - | - | - | |Eb |Bb | F | - |F/C|C/F| F | F | VERSE 1 F	 Eb Bb			 F (F|Eb|F|F) F		 Eb Bb	 F C		 F C	 Bb	 C |C/B| VERSE 2 F	 Eb Bb			F (F|Eb|F|F) F		Eb Bb	 F C		 F C	 Bb	 C |C/B|
Sunil Edirisinghe,Premakeerthi De Alwis,F minor | Beat,Old Pops,Rohana Weerasingha,දෑවැදි දෙන්නට රන්මසු පොදි නැති ගෙදරට බර වුණු බාල නඟේ නුඹ ගෙනියන්නට ගමෙත් කෙනෙක් නැහැ රටෙත් කෙනෙක් නැහැ බාල නඟේ // විරසක වීලා විරහ අපලයෙන් නුඹෙ ඉරණම නුඹ ළඟට නොයේ නිදිබර දෑසයි දැලි ගෑ මුහුණයි ලිප මුල්ලේ යෞවනය ගෙවේ රන්දම් පැලඳිය යුතු ගෙල වටකර නවගුණ වැල පෝ දිනට බැඳේ දීගෙක ගියදා නුඹට දැනේවී තනිකඩකම කොච්චරද අගේ,dewedi-dennata,INTRO |Fm | - |Fm | - | ||Fm | - |Fm |Bbm| |Eb7|Ab |Eb |Fm || |Fm | - |Fm | - | CHORUS Fm Db Fm Bbm Ab Fm Fm Bbm Eb Ab Fm Eb Db Fm INTER | + |Fm | + |Bbm| |Ab |Fm |Ab |Fm | |Fm | - |Fm | - | |Ab |Eb | VERSE 1 Db Fm Eb Fm Db Ab Eb Fm Db Eb Fm Back To Chorus VERSE 2 Db Fm Eb Fm Db Ab Eb Fm Db Eb Fm Back To Chorus
Victor Rathnayaka,Premakeerthi De Alwis,D minor| Beat,"Golden Oldies, Inspirational",Victor Rathnayaka,දෙව්රම් වෙහෙරේ හිමි වැඩ සිටි සමයේ මා සිටියානම් සමිදුනි ඔබ පිළිසරණ පතා මම‍ එමි බවදුරු කතර ගෙවා සහසක් දොම්නස් දුක් ගිනි අතරේ දැවෙන මහද සිතිවිලි ගිණි අදුරේ සමිද ඔබේ පිළිරුව දුටු පමණින් නිවී නිවී යන අරුමය කිමදෝ ජීවමානවම හිමි දැක ගන්නට මා නෙත කල පින් මද බව වැටහිනි එහෙයින් හිමි අනුරුව අභියස සිට බවුන් වඩමි ‍මෙත් බුදුන් දකින්නට,dewram-wehere,INTRO ||Dm | - |Dm | - | | C | - |Dm | - || CHORUS Dm G C Dm C Dm C G D C C G C Dm INTER |Dm | - | | G |Dm | G | F | | C |C/Dm|Dm | - | VERSE 1 Dm C Dm Dm C D G D D C Dm VERSE 2 Dm C Dm Dm C D G D D C Dm
Mervin Perera,Premakeerthi De Alwis,C Major | Beat,"Golden Pop, Request","Anuradha Abeysinghe, Mervin Perera",දියළුම දිය ඇලි දිය රැල හා ගල ගල යයි සමුදුර සොයලා හද උපදී ආදරේ සැනසුම් තෙර සොයලා// අද නැති දේ හෙට මා සොයයි හෙට හමු වී යළි ඈ සොයයි ඔබ හමුවේ හද ගී ගයයි ඔබ ඒ ගීතයෙ රාවයයි සසර පුරා ඇසු ගීතයේ රසයේ කිමිදී පැතුසේ සඳවත කුමටද ඔබ නැතිදා හිරු නැග පල නැත ඔබ නැතිදා සඳ හිරු හා ආදරේ මොකටද ඔබ නැති දා පියබර සිතුවිලි මතු අමුණයි සවණට සැනසිලි හඬ මුමුණයි කැළඹෙන මේ ලෝකයේ සහනය ඔබ පමණයි //,diyaluma-diya-eli,INTRO |C/G|F/G|F/Em|Dm/C| | B | - | C | - | | C | - | G | - | | G | - | C | - | CHORUS G F G F C F C F G F G F C F C INTER | C | F | - | - | | F |Em |G7 | C | | C | F | - | - | VERSE C F C|F|C C F C|F|C C F C C F C G C F Em D|G7|C CHORUS 2 G F G F C F C F G F G F C F C CHORUS 3 G F G F C F C F G F G F C F C/Dm/B/C Back To Chorus
"Amitha Wedisinghe, Mervin Perera",Premakeerthi De Alwis,C major | Beat,"Duets, Golden Pop",Mervin Perera,එක මොහොතක් ඔබ සෙවණේ හිඳින්න‍ට තරම් කල්පයකින් අසුරු සැණක් පමණ නැත වරම්// කඳු ගිරිහෙල් රළු බොරලන පිය මග මනිමි අහසයි පොළොවයි එක්වෙන දවසක් දනිමි// මල් පොකුරක එක නටුවකි ඒ බව සැබවි// එක හිත ගැන හිත් දෙකකින් නොසිතනු මැනවි පිළිවෙලක‍ට නැති ලෙස තරු අහසෙහි අතුරා සඳ පමණක් සළුපිලි ඇඳ එහි වත සපුරා// මග සළකුණු දක්වා හිනැහෙන එලි පතුරා// බැසයනු මිස නොරැඳෙනු මැන ගඟ දිය උතුරා,eka-mohothak,INTRO |C | G | - | F | |F | G |G7 | C | |F |Em |Dm | C | |C/G7| C | CHORUS C		F	 C		Dm Dm	 F	 C INTER |Am | - | - | - | | G |Am | + | |Am | - | G | - | | F | - | E | Am| VERSE 1 Am	 E		 E F	 E Am	 G		 F	 Am (Am/C/G7/C) F	 C 		 G7	 C G	 Dm	 G	 C VERSE 2 Am	 E		 E F	 E Am	 G		 F	 Am (Am/C/G7/C) F	 C 		G7	 C G	 Dm	 G	 C
"Bandula Wijeweera, Edward Jayakody, Sunil Edirisinghe",Premakeerthi De Alwis,F minor | Beat,Movie Songs,H.M.Jayarathna,එක යායේ කකා වැටී එකා වගේ එකට ඉදී එක පවුලේ උපන් ලෙසේ කල ආරක්ෂා නාස් ලනුව දමනවාලු කරත්තයක බදිනවාලු අපට හිටිය ලපටි කැකුළු නාඹර වස්සා ගෙට ආකල ටිකිරි ලියා නුඹ වේවිලු කබරගොයා ලිදට ගියත් අවසරයක් ගන්නට වේවී දල ගලවා අතේ තියා නුඹ නටවයි ඒ ළමයා පනවාලා දරුණ දණ්ඩ බන්ධන නීති වලට වැටුනු එකායකා වලටම ඇදගනු මිසකා වලෙන් උඩ ට එන්නට අත දෙන්නට කැමති නෑදෑහිතවතෙක් නැති ඒගැන හිතුවොත් යෙහෙකි කසාදෙ නම් කසාය හරි තිත්ත බෙහෙතකි,eka-yaye-kaka,INTRO/INTER |Fm | - |Bbm/Ab|Eb/Fm | |Fm | - |Bbm/Ab|Eb/Fm | |Fm | - |Eb |Fm | |Fm | - |Eb |Fm | |Fm | - | - | - | CHORUS Fm Fm Bbm Fm Eb Fm Fm Eb Fm Fm Bbm Eb Fm VERSE 1 Fm Bbm Fm Bbm Fm Fm Bbm Ab Eb Fm Eb Fm Fm Eb Fm Fm Bbm Eb Fm Back To Chorus VERSE 2 Fm Bbm Fm Bbm Fm Fm Bbm Ab Eb Fm Eb Fm Fm Eb Fm Fm Bbm Eb Fm Back To Chorus
Punsiri Soyza,Premakeerthi De Alwis,D minor | Beat,Old Pops,Ananda Gamage,එකම මගක පියවර මැන යන්නයි එකම බිමක සෙවනැළි පැටලෙන්නයි සෙනේ දියෙන් මීවිත පිරවෙන්නයි මගේ පැතුම ඔබ මට හිමිවෙන්නයි// වැලේ පිපුණු මල නොවේ වැලට බර බිඟුන් සරාවී බැලුම් හෙලා හිතේ රැඳුණු පෙම් නොම දෙන් රටකට// මගේ ලොවින් පිට නොයන් පලා// මගේ ලොවට සඳ ඔබේ සිඟිති මුව අගින් එබේවී හැඟුම් මවා ඔබේ පිනට මතු මගේ ගෙපැල ළඟ// කුසුම් පිපේවා පවන් සලා//,ekama-magaka,INTRO |Gm |Dm | C |Dm | |Dm | - | F |Dm | | G | C | F |Dm | |Dm |Am | G |Dm | CHORUS Dm C F Dm Gm Dm Dm F Dm C Am Dm INTER || F | - |Am | - || |Dm | G | - |Dm | |Dm | C | VERSE 1 Dm Dm C Dm G Dm Dm C Am Dm Back To Chorus VERSE 2 Dm Dm C Dm G Dm Dm C Am Dm Back To Chorus
Priya Sooriyasena,Premakeerthi De Alwis,A Major | Beat,Old Pops,Priya Sooriyasena,එකම වීදියේ දෙතුන් වතාවක් එහා මෙහා අපි ඇවිද ඇතී බිමට නැමුණු මල් අතු ඉති අතරේ අපේ කතාවන් රැඳී ඇතී සුදු හසඟන සේ හසරැළි ඉහලා හඳ පායන සේ හද ගිණි නිවලා ඔබ මා සුරතේ දසඟිලි පටලා දොඩමළු වීලා මට ඉඟි කරලා හැන්දෑ යාමේ මා අත හැරලා යන්නී ඔබ ඔබේ කුටියට පෙරලා කවුළුව අතරින් හසරැලි එළලා මම යමි මගේ හිත ඔබ ළඟ තියලා තනි යහනේ මා කෙසේ සිතන්නේ මා සිත ඔබේ ළඟ නොවෙද තියෙන්නේ ඔබට හිතෙන දේ හිතට කියාදී හෙට එන විට යලි රැගෙන වරෙන්,ekama-weediye,INTRO || A | - | D | - || | A |F#m| D | A | | A | - | - | - | |E7 | - | A | - | CHORUS A D E A A D E A INTER | A | D | G | A | | A | - |F#m| - | |F#m| - | D | - | | A | - | - | - | | A | D | G | A | VERSE 1 A E A A E A A Bm A A G A Back To Chorus VERSE 2 A E A A E A A Bm A A G A Back To Chorus VERSE 3 A E A A E A A Bm A A G A Back To Chorus
"Angelin Gunathilaka, H.R.Jothipala",Premakeerthi De Alwis,A minor | Beat,"Duets, Golden Pop, Old Pops",P.L.A.Somapala,හෝ…හෝ හො හෝ…හෝ හෝ හෝ…. ඈත දිලිසෙන හිරු සඳු රන්තරු රහසේ කීවා මට ඔබ ගැන තොරතුරු මගේ නෙත් යුග මතු පියවෙන තුරු ආදරෙයි මා ආදරෙයි// ළා තණ නිල්ලේ… පිණි කඳුළැල්ලේ මා ඔබ දුටු ඒ ප්‍රේම ලෝකේ// දෑස දෑසක් සොයා තනි වූ දිනේදි මධු සඳ රැල්ලේ සතුටු සඳැල්ලේ වාසනාවේ අමිල උදාවේ සීත සුළ‍ඟේ වෙලී මතු හමුවුණාවේ,etha-dilisena,INTRO | A | - | - | - | | A | - | - |A/D| A | - | x 2 | D | - | E | - | A | - | - | - | | A | - | - | - | A | - | - | - | G			 Am CHORUS Am	 G Am Am	 G	 F Am	 G F E E7	 Am INTER | E | - | - | - | D | - | E | - | x 2 | E | - | D | - | E | - | C | - | | F |F/Am| VERSE 1 Am Am | C Am Am | C E	 Am G		 F Am VERSE 2 Am Am | C Am Am | C E	 Am G		 F Am
Sunil Edirisinghe,Premakeerthi De Alwis,D major | Beat,Classics,Victor Rathnayaka,හිසේ ගිනි ඇවිලෙතේ පසේ බුදුවරු නැතේ ඇසේ තෙත ඇත හිතේ පිසින්නේ කවුරුදෝ// කඳුළු දනව්වේ උල්පතින් හඬන හැඬුම් ගංගා ගලා ඒ ඉවුරේ මෙසේ ඒ ඉවුරේ මෙසේ ලොවේ අය දිව යතේ යුගෙන් යුගේ අත් වැල් බැඳී යදම් වැලක් විලසින් ඇදී නෑ නිවුණේ සදා නෑ නිවුණේ සදා මිනිස් කම මෙදියතේ,hise-gini-awilethe,INTRO | D | - |Bm | - | | D | - |Bm | - | | D | - | - | - | |Em | - | D | - | | D | A | D | G | CHORUS D Em A D A7 D INTER | D | - | - | - | | D | - | - | - | | D |Gm | D | - | | D | - | - | G | | C | G | D | - | VERSE 1 D F#m G G D C D A G D Gm D Back To Chorus VERSE 2 D F#m G G D C D A G D Gm D Back To Chorus
